Name,Year of release,Genre
무브 투 헤븐,2021,"['인생', '드라마', '가족']"
악의 꽃,2020,"['스릴러', '로맨스', '범죄', '멜로드라마']"
슬기로운 의사생활,2020,"['우정', '로맨스', '인생', '의료']"
슬기로운 의사생활 2,2021,"['우정', '로맨스', '인생', '의료']"
나의 아저씨,2018,"['심리', '인생', '드라마', '가족']"
응답하라 1988,2015,"['코미디', '로맨스', '청춘', '가족']"
약한 영웅 Class 1,2022,"['액션', '청춘', '드라마']"
슬기로운 감빵생활,2017,"['코미디', '범죄', '인생', '드라마']"
환혼,2022,"['액션', '역사', '로맨스', '판타지']"
이상한 변호사 우영우,2022,"['법률', '로맨스', '인생', '드라마']"
철인왕후,2020,"['역사', '미스터리', '코미디', '로맨스']"
마더,2018,"['스릴러', '미스터리', '심리', '멜로드라마']"
사이코지만 괜찮아,2020,"['심리', '코미디', '로맨스', '드라마']"
사랑의 불시착,2019,"['군대', '코미디', '로맨스', '정치']"
빈센조,2021,"['코미디', '법률', '범죄', '드라마']"
나빌레라,2021,"['우정', '인생', '드라마', '가족']"
시그널,2016,"['스릴러', '미스터리', 'SF']"
미스터 션샤인,2018,"['군대', '역사', '로맨스', '멜로드라마']"
해피니스,2021,"['액션', '스릴러', '드라마', '판타지']"
킹덤: 시즌 2,2020,"['스릴러', '역사', '공포', '초자연']"
SKY 캐슬,2018,"['미스터리', '심리', '드라마', '가족']"
내일,2022,"['액션', '스릴러', '드라마', '판타지']"
힐러,2014,"['액션', '스릴러', '미스터리', '로맨스']"
비밀의 숲,2017,"['스릴러', '미스터리', '법률', '드라마']"
스물다섯 스물하나,2022,"['로맨스', '인생', '드라마', '멜로드라마']"
옷소매 붉은 끝동,2021,"['역사', '로맨스', '드라마', '멜로드라마']"
도깨비,2016,"['코미디', '로맨스', '판타지', '멜로드라마']"
경이로운 소문,2020,"['액션', '미스터리', '드라마', '초자연']"
마우스,2021,"['스릴러', '미스터리', 'SF']"
킹덤,2019,"['스릴러', '역사', '공포', '정치']"
역도요정 김복주,2016,"['코미디', '로맨스', '청춘', '스포츠']"
D.P.,2021,"['액션', '군대', '코미디', '드라마']"
악마판사,2021,"['미스터리', '법률', '범죄', '드라마']"
펜트하우스,2020,"['스릴러', '미스터리', '드라마', '가족']"
오월의 청춘,2021,"['역사', '로맨스', '드라마', '멜로드라마']"
모범택시,2021,"['액션', '스릴러', '미스터리', '드라마']"
라이프 온 마스,2018,"['액션', '미스터리', '코미디', '초자연']"
괴물,2021,"['스릴러', '미스터리', '심리', '드라마']"
라켓소년단,2021,"['우정', '코미디', '청춘', '스포츠']"
갯마을 차차차,2021,"['코미디', '로맨스', '인생']"
육룡이 나르샤,2015,"['액션', '역사', '드라마', '정치']"
그 해 우리는,2021,"['로맨스', '인생', '청춘', '드라마']"
손 the guest,2018,"['스릴러', '미스터리', '공포', '초자연']"
디어 마이 프렌즈,2016,"['인생', '드라마', '가족', '멜로드라마']"
당신이 잠든 사이에,2017,"['미스터리', '로맨스', '드라마', '판타지']"
펜트하우스 2,2021,"['스릴러', '미스터리', '드라마', '가족']"
시카고 타자기,2017,"['코미디', '로맨스', '초자연', '정치']"
18 어게인,2020,"['로맨스', '인생', '드라마', '판타지']"
아스달 연대기 파트 2,2019,"['역사', '로맨스', '판타지', '정치']"
아스달 연대기 파트 3,2019,"['역사', '로맨스', '판타지', '정치']"
악의 마음을 읽는 자들,2022,"['스릴러', '미스터리', '범죄', '드라마']"
낭만닥터 김사부 2,2020,"['로맨스', '드라마', '의료', '멜로드라마']"
피고인,2017,"['스릴러', '미스터리', '법률', '드라마']"
우리들의 블루스,2022,"['로맨스', '인생', '드라마', '멜로드라마']"
스위트홈,2020,"['공포', '드라마', 'SF', '초자연']"
"킬미, 힐미",2015,"['심리', '코미디', '로맨스', '드라마']"
달의 연인,2016,"['역사', '로맨스', '멜로드라마']"
사내맞선,2022,"['코미디', '로맨스', '드라마']"
미생,2014,"['우정', '비즈니스', '인생', '드라마']"
힘쎈여자 도봉순,2017,"['액션', '스릴러', '코미디', '로맨스', '드라마', '초자연']"
열혈사제,2019,"['액션', '미스터리', '코미디', '범죄']"
마이 네임,2021,"['액션', '스릴러', '범죄']"
호텔 델루나,2019,"['공포', '코미디', '로맨스', '판타지']"
스토브리그,2019,"['드라마', '스포츠', '멜로드라마']"
낭만닥터 김사부,2016,"['로맨스', '드라마', '의료']"
태양의 후예,2016,"['액션', '코미디', '로맨스', '멜로드라마']"
로스쿨,2021,"['미스터리', '법률', '범죄', '드라마']"
타인은 지옥이다,2019,"['스릴러', '공포', '심리', '드라마']"
라이브,2018,"['우정', '코미디', '로맨스', '범죄']"
터널,2017,"['스릴러', '미스터리', 'SF', '판타지']"
나의 해방일지,2022,"['로맨스', '인생', '드라마', '멜로드라마']"
검법남녀 2,2019,"['미스터리', '법률', '드라마', '의료']"
대장금,2003,"['음식', '역사', '로맨스', '의료']"
"괜찮아, 사랑이야",2014,"['심리', '코미디', '로맨스', '드라마']"
작은 아씨들,2022,"['액션', '스릴러', '미스터리', '드라마']"
고스트 닥터,2022,"['코미디', '의료', '판타지', '초자연']"
윌라차차 와이키키,2018,"['코미디', '인생', '청춘', '드라마']"
각시탈,2012,"['액션', '역사', '로맨스', '정치']"
붉은 달 푸른 해,2018,"['스릴러', '미스터리', '심리', '범죄', '드라마']"
김과장,2017,"['비즈니스', '코미디', '범죄', '드라마']"
돼지의 왕,2022,"['스릴러', '미스터리', '드라마']"
빅마우스,2022,"['스릴러', '미스터리', '법률', '드라마']"
고백부부,2017,"['코미디', '로맨스', '인생', '학교', '드라마', '가족', '초자연']"
기황후,2013,"['역사', '로맨스', '멜로드라마', '정치']"
아버지가 이상해,2017,"['코미디', '로맨스', '드라마', '가족']"
한 번 다녀왔습니다,2020,"['코미디', '로맨스', '드라마', '가족']"
미씽,2020,"['스릴러', '미스터리', '초자연']"
비밀의 숲 2,2020,"['스릴러', '미스터리', '법률', '드라마']"
지정생존자,2019,"['스릴러', '미스터리', '드라마', '정치']"
소년심판,2022,"['법률', '드라마']"
무정도시,2013,"['액션', '스릴러', '로맨스', '범죄']"
별에서 온 그대,2013,"['코미디', '로맨스', '드라마', '초자연']"
쌍갑포차,2020,"['미스터리', '코미디', '가족', '판타지']"
