,제목,장르,출시년도
0,돌풍,드라마,2024년
1,약한영웅 Class 1,"드라마, 액션, 범죄, 스릴러",2022년
2,카지노 시즌 1,"드라마, 범죄, 스릴러, 액션",2022년
3,반짝이는 워터멜론,"드라마, 판타지, 로맨스, 코미디, 음악",2023년
4,신병 시즌 2,"드라마, 코미디",2023년
5,오징어 게임 시즌 1,"드라마, 스릴러, 공포, 범죄, 서스펜스",2021년
6,안나,"드라마, 미스터리, 스릴러",2022년
7,무빙,"액션, 스릴러, SF, 드라마",2023년
8,더 글로리 파트 1,"드라마, 범죄, 스릴러",2022년
9,오늘은 좀 매울지도 몰라,"드라마, 가족",2022년
10,스위트 홈 시즌 2,"드라마, 스릴러, 공포, 판타지, SF, 액션",2023년
11,모범택시,"드라마, 스릴러, 범죄",2021년
12,D.P. 시즌 1,"드라마, 액션, 범죄",2021년
13,파친코,드라마,2022년
14,소년시대,"드라마, 코미디, 액션",2023년
15,신병 시즌 1 PART. 1,"드라마, 코미디",2022년
16,사랑의 이해,"드라마, 로맨스",2022년
17,지금 우리 학교는 시즌 1,"공포, 스릴러, 액션, 모험, 코미디, 드라마",2022년
18,좋좋소 시즌 4,드라마,2022년
19,악의 마음을 읽는 자들,"드라마, 범죄, 스릴러",2022년
20,(아는 건 별로 없지만) 가족입니다,드라마,2020년
21,LTNS,드라마,2024년
22,악귀,"스릴러, 드라마, 공포, 미스터리, 서스펜스",2023년
23,모범택시 2,"액션, 드라마",2023년
24,최악의 악,"액션, 드라마, 범죄, 스릴러, 미스터리",2023년
25,도시남녀의 사랑법,"드라마, 로맨스, 코미디",2020년
26,비질란테,"액션, 스릴러, 범죄",2023년
27,안나 (감독판),드라마,2022년
28,수상한 파트너,"드라마, 로맨스",2017년
29,스위트 홈 시즌 1,"드라마, 공포, 액션, 스릴러, 판타지",2020년
30,그 해 우리는,"로맨스, 코미디",2021년
31,스물다섯 스물하나,"드라마, 로맨스, 코미디",2022년
32,나의 나라,"드라마, 액션",2019년
33,사막의 왕,드라마,2022년
34,미스터 션샤인,"드라마, 로맨스",2018년
35,이태원 클라쓰,"드라마, 범죄, 로맨스, 코미디",2020년
36,유미의 세포들 시즌 1,"드라마, 로맨스",2021년
37,괴이,"드라마, 미스터리, 스릴러",2022년
38,신병 시즌 1 PART. 2,"코미디, 드라마",2022년
39,"이재, 곧 죽습니다 part 1","드라마, 판타지, 스릴러",2023년
40,술꾼도시여자들,"드라마, 코미디, 로맨스",2021년
41,최종병기 앨리스,"드라마, 액션, 로맨스, 스릴러, 서스펜스",2022년
42,사운드트랙 #2,"드라마, 음악, 로맨스",2023년
43,D.P. 시즌 2,"드라마, 미스터리, 액션, 범죄, 스릴러",2023년
44,유 레이즈 미 업,"로맨스, 코미디",2021년
45,비밀의 숲,"드라마, 스릴러, 범죄",2017년
46,몸값,"드라마, 스릴러, 범죄",2022년
47,밤이 되었습니다,"미스터리, 스릴러, 공포",2023년
48,열혈사제,"액션, 코미디, 범죄",2019년
49,타인은 지옥이다,"드라마, 스릴러",2019년
50,디어 마이 프렌즈,드라마,2016년
51,악인전기,"범죄, 스릴러",2023년
52,나의 해방일지,"로맨스, 드라마, 가족",2022년
53,유괴의 날,"드라마, 스릴러, 미스터리, 코미디",2023년
54,라이프 온 마스,"드라마, 범죄, 판타지",2018년
55,하이쿠키,"드라마, 판타지, 스릴러",2023년
56,브람스를 좋아하세요?,"드라마, 로맨스",2020년
57,시그널,"SF, 범죄, 스릴러, 판타지",2016년
58,쌉니다 천리마마트,드라마,2019년
59,호텔 델루나,"판타지, 로맨스, 드라마, 코미디",2019년
60,사운드트랙#1,"로맨스, 음악, 드라마",2022년
61,마이 네임,"드라마, 액션, 범죄",2021년
62,철인왕후,"드라마, 코미디",2020년
63,손 the guest,"드라마, 스릴러",2018년
64,치얼업,"로맨스, 코미디, 미스터리",2022년
65,나의 아저씨,드라마,2018년
66,스타트업,"드라마, 로맨스",2020년
67,스토브리그,드라마,2019년
68,런 온,"드라마, 로맨스, 코미디",2020년
69,운수 오진 날 part 2,"스릴러, 범죄, 공포",2023년
70,언프레임드,드라마,2021년
71,월간 집,드라마,2021년
72,좋좋소 시즌 5,드라마,2022년
73,이상한 변호사 우영우,"드라마, 코미디",2022년
74,재벌집 막내아들,"드라마, 판타지, 범죄, 스릴러, 서스펜스, 로맨스, 가족",2022년
75,멜로가 체질,"드라마, 로맨스",2019년
76,사랑의 불시착,"드라마, 로맨스, 코미디",2019년
77,빈센조,드라마,2021년
78,"60일, 지정생존자","드라마, 스릴러",2019년
79,무브 투 헤븐: 나는 유품 정리사입니다,드라마,2021년
80,사냥개들,"드라마, 액션, 범죄, 스릴러",2023년
81,소년심판,"드라마, 범죄",2022년
82,검색어를 입력하세요 WWW,"드라마, 로맨스",2019년
83,보이스,"범죄, 액션, 스릴러",2017년
84,터널,"드라마, 스릴러, 범죄",2017년
85,우리 연애 시뮬레이션,로맨스,2023년
