,제목,출시년도,장르,방송사
0,돌풍,2024년,드라마,넷플릭스
1,약한영웅 Class 1,2022년,"드라마, 액션, 범죄, 스릴러","웨이브, 채널S"
2,카지노 시즌 1,2022년,"드라마, 범죄, 스릴러, 액션",디즈니+
3,반짝이는 워터멜론,2023년,"드라마, 판타지, 멜로/로맨스, 코미디, 음악",tvN
4,오징어 게임 시즌 1,2021년,"드라마, 스릴러, 공포(호러), 범죄, 서스펜스",넷플릭스
5,D.P. 시즌 1,2021년,"드라마, 액션, 범죄",넷플릭스
6,오늘은 좀 매울지도 몰라,2022년,"드라마, 가족",
7,스위트 홈 시즌 2,2023년,"드라마, 스릴러, 공포(호러), 판타지, SF, 액션",넷플릭스
8,카지노 시즌 2,2023년,"드라마, 범죄, 스릴러, 액션",
9,무빙,2023년,"액션, 스릴러, SF, 드라마",디즈니+
10,신병 시즌 2,2023년,"드라마, 코미디","ENA, Genie TV"
11,파친코,2022년,드라마,Apple TV
12,모범택시,2021년,"드라마, 스릴러, 범죄",SBS
13,비질란테,2023년,"액션, 스릴러, 범죄",디즈니+
14,(아는 건 별로 없지만) 가족입니다,2020년,드라마,
15,괴물,2021년,"드라마, 범죄, 스릴러, 미스터리, 서스펜스",JTBC
16,사랑의 이해,2022년,"드라마, 멜로/로맨스",JTBC
17,소년시대,2023년,"드라마, 코미디, 액션",쿠팡플레이
18,악귀,2023년,"스릴러, 드라마, 공포(호러), 미스터리, 서스펜스",SBS
19,도시남녀의 사랑법,2020년,"드라마, 멜로/로맨스, 코미디",카카오TV
20,그 해 우리는,2021년,"멜로/로맨스, 코미디",SBS
21,최악의 악,2023년,"액션, 드라마, 범죄, 스릴러, 미스터리",디즈니+
22,악인전기,2023년,"범죄, 스릴러","ENA, Genie TV"
23,좋좋소 시즌 4,2022년,드라마,
24,LTNS,2024년,드라마,
25,신병 시즌 1 PART. 1,2022년,"드라마, 코미디",ENA
26,또! 오해영,2016년,"드라마, 코미디",tvN
27,지금 우리 학교는 시즌 1,2022년,"공포(호러), 스릴러, 액션, 어드벤처(모험), 코미디, 드라마",넷플릭스
28,수상한 파트너,2017년,"드라마, 멜로/로맨스",
29,이브,2022년,드라마,
30,스토브리그,2019년,드라마,SBS
31,몸값,2022년,"드라마, 스릴러, 범죄",
32,안나 (감독판),2022년,드라마,
33,나의 아저씨,2018년,드라마,tvN
34,시그널,2016년,"SF, 범죄, 스릴러, 판타지",tvN
35,열혈사제,2019년,"액션, 코미디, 범죄",SBS
36,밤이 되었습니다,2023년,"미스터리, 스릴러, 공포(호러)",U+모바일tv
37,라이프 온 마스,2018년,"드라마, 범죄, 판타지",OCN
38,사운드트랙 #2,2023년,"드라마, 음악, 멜로/로맨스",디즈니+
39,"이재, 곧 죽습니다 part 1",2023년,"드라마, 판타지, 스릴러",티빙
40,마이 네임,2021년,"드라마, 액션, 범죄",넷플릭스
41,호텔 델루나,2019년,"판타지, 멜로/로맨스, 드라마, 코미디",tvN
42,멜로가 체질,2019년,"드라마, 멜로/로맨스",JTBC
43,이상한 변호사 우영우,2022년,"드라마, 코미디",ENA
44,악의 마음을 읽는 자들,2022년,"드라마, 범죄, 스릴러","SBS, 웨이브"
45,낭만닥터 김사부 시즌 3,2023년,"드라마, 멜로/로맨스",SBS
46,나의 나라,2019년,"드라마, 액션",JTBC
47,슬기로운 의사생활 시즌 1,2020년,"드라마, 코미디, 음악",tvN
48,이태원 클라쓰,2020년,"드라마, 범죄, 멜로/로맨스, 코미디",JTBC
49,D.P. 시즌 2,2023년,"드라마, 미스터리, 액션, 범죄, 스릴러",넷플릭스
50,눈이 부시게,2019년,"멜로/로맨스, 드라마",JTBC
51,검색어를 입력하세요 WWW,2019년,"드라마, 멜로/로맨스",tvN
52,어느 날,2021년,"드라마, 범죄, 미스터리",
53,미스터 션샤인,2018년,"드라마, 멜로/로맨스",tvN
54,비밀의 숲,2017년,"드라마, 스릴러, 범죄",tvN
55,나의 해방일지,2022년,"멜로/로맨스, 드라마, 가족",JTBC
56,모범택시 2,2023년,"액션, 드라마",SBS
57,술꾼도시여자들,2021년,"드라마, 코미디, 멜로/로맨스","tvN, 티빙"
58,괴이,2022년,"드라마, 미스터리, 스릴러",티빙
59,이로운 사기,2023년,"드라마, 미스터리, 범죄, 코미디",tvN
60,신병 시즌 1 PART. 2,2022년,"코미디, 드라마",ENA
61,쌉니다 천리마마트,2019년,드라마,tvN
62,월간 집,2021년,드라마,
63,스물다섯 스물하나,2022년,"드라마, 멜로/로맨스, 코미디",tvN
64,재벌집 막내아들,2022년,"드라마, 판타지, 범죄, 스릴러, 서스펜스, 멜로/로맨스, 가족",JTBC
65,달의 연인: 보보경심 려,2016년,"드라마, 판타지, 멜로/로맨스",SBS
66,스타트업,2020년,"드라마, 멜로/로맨스",tvN
67,운수 오진 날 part 2,2023년,"스릴러, 범죄, 공포(호러)",티빙
68,최종병기 앨리스,2022년,"드라마, 액션, 멜로/로맨스, 스릴러, 서스펜스",왓챠
69,천원짜리 변호사,2022년,"드라마, 코미디",SBS
70,하이쿠키,2023년,"드라마, 판타지, 스릴러",
71,철인왕후,2020년,"드라마, 코미디",tvN
72,유미의 세포들 시즌 1,2021년,"드라마, 멜로/로맨스","tvN, 티빙"
73,치얼업,2022년,"멜로/로맨스, 코미디, 미스터리",SBS
74,스위트 홈 시즌 1,2020년,"드라마, 공포(호러), 액션, 스릴러, 판타지",넷플릭스
75,킹덤 시즌 1,2019년,"드라마, 공포(호러), 액션, 미스터리, 스릴러, 판타지",넷플릭스
76,손 the guest,2018년,"드라마, 스릴러",OCN
77,경성크리처 시즌 1 파트 1,2023년,"드라마, 스릴러, 액션, 공포(호러)",넷플릭스
78,우리들의 블루스,2022년,"드라마, 멜로/로맨스, 가족",tvN
79,구경이,2021년,"드라마, 미스터리, 범죄",
80,악의 꽃,2020년,"드라마, 멜로/로맨스",tvN
81,"60일, 지정생존자",2019년,"드라마, 스릴러",tvN
82,여신강림,2020년,드라마,tvN
83,디어 마이 프렌즈,2016년,드라마,tvN
84,VIP,2019년,"드라마, 미스터리, 멜로/로맨스",SBS
85,더 글로리 파트 2,2023년,"드라마, 범죄, 스릴러",넷플릭스
86,웰컴투 삼달리,2023년,"드라마, 멜로/로맨스, 코미디",JTBC
87,슬기로운 의사생활 시즌 2,2021년,"드라마, 코미디, 음악",tvN
88,소방서 옆 경찰서 그리고 국과수,2023년,"범죄, 드라마, 스릴러, 미스터리, 액션, 서스펜스",SBS
89,사막의 왕,2022년,드라마,
90,좋좋소 시즌 5,2022년,드라마,
91,일기예보적 연애,2023년,멜로/로맨스,
92,정신병동에도 아침이 와요,2023년,드라마,넷플릭스
93,사냥개들,2023년,"드라마, 액션, 범죄, 스릴러",넷플릭스
94,런 온,2020년,"드라마, 멜로/로맨스, 코미디",JTBC
95,작은 아씨들,2022년,"드라마, 미스터리",tvN
96,퀸메이커,2023년,드라마,넷플릭스
97,박하경 여행기,2023년,드라마,웨이브
98,남남,2023년,"드라마, 가족","ENA, Genie TV"
99,오 나의 귀신님,2015년,드라마,tvN
100,간 떨어지는 동거,2021년,"드라마, 멜로/로맨스",tvN
101,좋좋소 시즌 1,2021년,드라마,
102,이리와 안아줘,2018년,드라마,
103,월수금화목토,2022년,드라마,tvN
104,마스크걸,2023년,"드라마, 스릴러, 범죄",넷플릭스
105,사내맞선,2022년,"드라마, 멜로/로맨스, 코미디",SBS
106,며느라기2…ing,2022년,드라마,카카오TV
107,수리남,2022년,"드라마, 스릴러, 범죄",넷플릭스
108,응답하라 1988,2015년,"코미디, 가족, 드라마",tvN
109,너의 시간 속으로,2023년,"드라마, 멜로/로맨스, 판타지, 미스터리",넷플릭스
110,킹덤: 아신전,2021년,"드라마, 판타지, 미스터리, 스릴러, 액션",넷플릭스
111,유괴의 날,2023년,"드라마, 스릴러, 미스터리, 코미디",ENA
112,나쁜엄마,2023년,"드라마, 가족, 코미디",JTBC
113,치즈인더트랩,2016년,"멜로/로맨스, 서스펜스",tvN
114,당신이 잠든 사이에,2017년,"드라마, 멜로/로맨스, 판타지, 범죄, 스릴러",
115,한강,2023년,"드라마, 액션, 코미디, 범죄",디즈니+
116,나의 해피엔드,2023년,"드라마, 멜로/로맨스",TV CHOSUN
117,딱밤 한 대가 이별에 미치는 영향,2021년,"드라마, 멜로/로맨스",
118,자백,2019년,드라마,
119,해피니스,2021년,"드라마, 미스터리, 스릴러, 액션, 멜로/로맨스, 어드벤처(모험)",tvN
120,운수 오진 날 part 1,2023년,"스릴러, 공포(호러), 범죄","tvN, 티빙"
121,마당이 있는 집,2023년,"드라마, 스릴러, 범죄, 미스터리, 서스펜스","ENA, Genie TV"
122,18 어게인,2020년,"드라마, 멜로/로맨스",JTBC
123,로스쿨,2021년,"드라마, 미스터리, 범죄",JTBC
124,사랑한다고 말해줘,2023년,"드라마, 멜로/로맨스",ENA
125,기적의 형제,2023년,"드라마, 판타지, 코미디, 미스터리",JTBC
126,법쩐,2023년,드라마,"SBS, 아마존 프라임 비디오"
127,플레이어,2018년,드라마,OCN
128,쓸쓸하고 찬란하神: 도깨비,2016년,"드라마, 멜로/로맨스, 판타지, 코미디",tvN
129,이두나!,2023년,"멜로/로맨스, 코미디, 드라마",넷플릭스
130,빈센조,2021년,드라마,tvN
131,경이로운 소문,2020년,"드라마, 액션, 범죄, 미스터리, 스릴러, 코미디",OCN
132,썸바디,2022년,"드라마, 범죄, 스릴러, 서스펜스",넷플릭스
133,대행사,2023년,드라마,JTBC
134,무브 투 헤븐: 나는 유품 정리사입니다,2021년,드라마,넷플릭스
135,낭만닥터 김사부 시즌 2,2020년,"드라마, 멜로/로맨스",SBS
136,질투의 화신,2016년,"드라마, 멜로/로맨스, 코미디",SBS
137,푸른 바다의 전설,2016년,"드라마, 멜로/로맨스, 판타지, 코미디",SBS
138,사운드트랙#1,2022년,"멜로/로맨스, 음악, 드라마",디즈니+
139,여우 각시별,2018년,드라마,SBS
140,터널,2017년,"드라마, 스릴러, 범죄",OCN
141,으라차차 와이키키 시즌 1,2018년,드라마,JTBC
142,친애하는 판사님께,2018년,드라마,
143,연애혁명,2020년,"드라마, 멜로/로맨스",
144,판타G스팟,2022년,"드라마, 멜로/로맨스",
145,SKY 캐슬,2018년,"드라마, 스릴러, 미스터리, 범죄, 가족",JTBC
146,국민사형투표,2023년,"드라마, 스릴러, 범죄, 미스터리",SBS
147,소방서 옆 경찰서,2022년,"드라마, 스릴러, 범죄, 미스터리, 액션, 서스펜스",SBS
148,뷰티 인사이드,2018년,"드라마, 코미디, 멜로/로맨스, 판타지",JTBC
149,"알고있지만,",2021년,"드라마, 멜로/로맨스",JTBC
150,방과 후 전쟁활동 파트 2,2023년,"액션, SF, 스릴러, 드라마",티빙
151,이 연애는 불가항력,2023년,"드라마, 멜로/로맨스, 판타지, 코미디",JTBC
152,원 더 우먼,2021년,"드라마, 코미디","SBS, 웨이브"
153,언프레임드,2021년,드라마,왓챠
154,너는 나의 봄,2021년,"드라마, 멜로/로맨스",tvN
155,사랑의 온도,2017년,"멜로/로맨스, 드라마",SBS
156,멜랑꼴리아,2021년,"드라마, 멜로/로맨스",tvN
157,내일 그대와,2017년,"드라마, 멜로/로맨스",tvN
158,킹덤 시즌 2,2020년,"드라마, 공포(호러), 액션, 미스터리",넷플릭스
159,인간수업,2020년,"드라마, 범죄",넷플릭스
160,7인의 탈출,2023년,"드라마, 스릴러, 범죄",SBS
161,이번 생은 처음이라,2017년,"멜로/로맨스, 코미디",tvN
